Date,Hospital,Blood Type,Demand
01-01-2024,CMC Vellore,A+,168
02-01-2024,CMC Vellore,A+,165
03-01-2024,CMC Vellore,A+,164
04-01-2024,CMC Vellore,A+,176
05-01-2024,CMC Vellore,A+,168
06-01-2024,CMC Vellore,A+,168
07-01-2024,CMC Vellore,A+,161
08-01-2024,CMC Vellore,A+,165
09-01-2024,CMC Vellore,A+,160
10-01-2024,CMC Vellore,A+,159
11-01-2024,CMC Vellore,A+,169
12-01-2024,CMC Vellore,A+,163
13-01-2024,CMC Vellore,A+,159
14-01-2024,CMC Vellore,A+,158
15-01-2024,CMC Vellore,A+,169
16-01-2024,CMC Vellore,A+,169
17-01-2024,CMC Vellore,A+,174
18-01-2024,CMC Vellore,A+,167
19-01-2024,CMC Vellore,A+,173
20-01-2024,CMC Vellore,A+,172
21-01-2024,CMC Vellore,A+,172
22-01-2024,CMC Vellore,A+,176
23-01-2024,CMC Vellore,A+,169
24-01-2024,CMC Vellore,A+,177
25-01-2024,CMC Vellore,A+,160
26-01-2024,CMC Vellore,A+,162
27-01-2024,CMC Vellore,A+,176
28-01-2024,CMC Vellore,A+,164
29-01-2024,CMC Vellore,A+,166
30-01-2024,CMC Vellore,A+,164
01-01-2024,CMC Vellore,A-,169
02-01-2024,CMC Vellore,A-,173
03-01-2024,CMC Vellore,A-,164
04-01-2024,CMC Vellore,A-,157
05-01-2024,CMC Vellore,A-,175
06-01-2024,CMC Vellore,A-,170
07-01-2024,CMC Vellore,A-,162
08-01-2024,CMC Vellore,A-,167
09-01-2024,CMC Vellore,A-,163
10-01-2024,CMC Vellore,A-,170
11-01-2024,CMC Vellore,A-,158
12-01-2024,CMC Vellore,A-,169
13-01-2024,CMC Vellore,A-,172
14-01-2024,CMC Vellore,A-,159
15-01-2024,CMC Vellore,A-,173
16-01-2024,CMC Vellore,A-,163
17-01-2024,CMC Vellore,A-,159
18-01-2024,CMC Vellore,A-,157
19-01-2024,CMC Vellore,A-,161
20-01-2024,CMC Vellore,A-,165
21-01-2024,CMC Vellore,A-,159
22-01-2024,CMC Vellore,A-,173
23-01-2024,CMC Vellore,A-,167
24-01-2024,CMC Vellore,A-,157
25-01-2024,CMC Vellore,A-,165
26-01-2024,CMC Vellore,A-,159
27-01-2024,CMC Vellore,A-,169
28-01-2024,CMC Vellore,A-,171
29-01-2024,CMC Vellore,A-,170
30-01-2024,CMC Vellore,A-,163
01-01-2024,CMC Vellore,B+,151
02-01-2024,CMC Vellore,B+,159
03-01-2024,CMC Vellore,B+,156
04-01-2024,CMC Vellore,B+,161
05-01-2024,CMC Vellore,B+,158
06-01-2024,CMC Vellore,B+,156
07-01-2024,CMC Vellore,B+,152
08-01-2024,CMC Vellore,B+,158
09-01-2024,CMC Vellore,B+,156
10-01-2024,CMC Vellore,B+,144
11-01-2024,CMC Vellore,B+,150
12-01-2024,CMC Vellore,B+,152
13-01-2024,CMC Vellore,B+,144
14-01-2024,CMC Vellore,B+,155
15-01-2024,CMC Vellore,B+,151
16-01-2024,CMC Vellore,B+,154
17-01-2024,CMC Vellore,B+,162
18-01-2024,CMC Vellore,B+,160
19-01-2024,CMC Vellore,B+,151
20-01-2024,CMC Vellore,B+,146
21-01-2024,CMC Vellore,B+,146
22-01-2024,CMC Vellore,B+,144
23-01-2024,CMC Vellore,B+,148
24-01-2024,CMC Vellore,B+,153
25-01-2024,CMC Vellore,B+,150
26-01-2024,CMC Vellore,B+,152
27-01-2024,CMC Vellore,B+,150
28-01-2024,CMC Vellore,B+,152
29-01-2024,CMC Vellore,B+,151
30-01-2024,CMC Vellore,B+,155
01-01-2024,CMC Vellore,B-,135
